Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
797.9656,28 bytes,400,0,10,0.0055,0.0100,0.0148,0.0223,0.0322,5
901.5772,28 bytes,400,0,20,0.0069,0.0166,0.0269,0.0420,0.0728,5
822.5472,28 bytes,400,0,50,0.0104,0.0423,0.0658,0.0967,0.1971,5
924.5378,28 bytes,350,0,70,0.0068,0.0406,0.0680,0.1350,0.2833,5
847.4368,28 bytes,400,0,80,0.0111,0.0456,0.0755,0.2072,0.3155,5
989.8394,28 bytes,400,0,100,0.0064,0.0478,0.0938,0.1948,0.3360,5
921.2261,28 bytes,375,0,125,0.0130,0.0536,0.1471,0.2641,0.3382,5
919.4521,28 bytes,270,0,135,0.0186,0.0793,0.1665,0.2080,0.2582,5
371.3989,28 bytes,320,0,160,0.0093,0.0966,0.3861,0.7068,0.8226,5
381.4463,28 bytes,360,0,180,0.0100,0.0898,0.4306,0.7865,0.9051,1
342.7492,28 bytes,400,0,200,0.0096,0.1037,0.6316,0.8680,1.0437,1
225.9777,28 bytes,300,0,300,0.1530,0.6985,0.8204,1.2581,1.3176,1
213.8137,28 bytes,400,0,400,0.1626,0.7929,1.3002,1.7324,1.8052,1
593.5089,28 bytes,800,0,10,0.0097,0.0156,0.0198,0.0240,0.0328,1
504.8888,28 bytes,800,0,20,0.0198,0.0356,0.0449,0.0536,0.0900,1
609.0875,28 bytes,800,0,50,0.0209,0.0456,0.0569,0.0853,0.7179,1
635.9017,28 bytes,770,0,70,0.0128,0.0312,0.0430,0.0656,0.9864,1
586.0596,28 bytes,800,0,80,0.0169,0.0292,0.0381,0.0672,1.0921,1
565.5097,28 bytes,800,0,100,0.0155,0.0281,0.0390,0.1498,1.1947,1
529.9843,28 bytes,750,0,125,0.0159,0.0273,0.0395,0.5669,1.2626,1
536.9473,28 bytes,675,0,135,0.0157,0.0286,0.0517,0.6360,1.1557,1
617.6468,28 bytes,800,0,160,0.0110,0.0192,0.0369,0.6425,1.1896,1
542.8648,28 bytes,720,0,180,0.0120,0.0202,0.1133,0.7936,1.2226,1
561.6346,28 bytes,800,0,200,0.0123,0.0206,0.0983,0.8811,1.3317,1
352.5489,28 bytes,600,0,300,0.0076,0.1393,0.8361,1.3571,1.5548,1
347.7302,28 bytes,800,0,400,0.0071,0.2187,1.1551,1.8770,2.1208,1
209.9710,28 bytes,500,0,500,0.2052,1.2338,1.7778,2.2253,2.3634,1
495.2403,28 bytes,1000,0,10,0.0125,0.0188,0.0231,0.0282,0.0382,1
656.1564,28 bytes,1000,0,20,0.0171,0.0271,0.0352,0.0444,0.0721,1
554.1365,28 bytes,1000,0,50,0.0251,0.0494,0.0659,0.0923,0.9168,1
585.1705,28 bytes,980,0,70,0.0210,0.0420,0.0564,0.0868,0.9704,1
531.5626,28 bytes,960,0,80,0.0239,0.0432,0.0635,0.0867,1.1619,1
534.8550,28 bytes,1000,0,100,0.0203,0.0353,0.0488,0.0824,1.5362,1
796.4884,28 bytes,1000,0,125,0.0205,0.0447,0.0659,0.2024,0.9447,1
758.5865,28 bytes,945,0,135,0.0154,0.0390,0.0623,0.3330,0.9671,2
692.4826,28 bytes,960,0,160,0.0181,0.0382,0.0637,0.5232,1.1736,2
645.1153,28 bytes,900,0,180,0.0115,0.0191,0.0322,0.6839,1.2469,2
630.0000,28 bytes,1000,0,200,0.0112,0.0184,0.0276,0.7450,1.4556,1
495.4056,28 bytes,900,0,300,0.0084,0.0177,0.4756,1.3211,1.7442,1
349.7482,28 bytes,800,0,400,0.0073,0.1635,1.2228,1.7851,2.0921,1
404.4006,28 bytes,1000,0,500,0.0077,0.1889,1.1210,1.8966,2.3788,1
202.0502,28 bytes,1000,0,1000,0.2805,2.3090,3.4338,4.3435,4.8179,1
548.1497,28 bytes,1500,0,10,0.0114,0.0174,0.0209,0.0254,0.0351,1
792.6383,28 bytes,1500,0,20,0.0090,0.0211,0.0325,0.0439,0.0637,1
957.0648,28 bytes,1500,0,50,0.0102,0.0332,0.0523,0.0765,0.3094,2
831.0789,28 bytes,1470,0,70,0.0218,0.0482,0.0694,0.1036,0.7502,2
592.4031,28 bytes,1440,0,80,0.0241,0.0424,0.0564,0.0741,1.6075,1
589.9275,28 bytes,1500,0,100,0.0202,0.0374,0.0502,0.0718,1.9401,1
622.4608,28 bytes,1500,0,125,0.0212,0.0356,0.0475,0.0660,1.8954,1
622.2607,28 bytes,1485,0,135,0.0182,0.0362,0.0573,0.0962,1.9936,1
625.5369,28 bytes,1440,0,160,0.0102,0.0335,0.0649,0.1301,2.0485,1
895.8737,28 bytes,1440,0,180,0.0086,0.0285,0.0514,0.3833,1.2993,2
836.9493,28 bytes,1400,0,200,0.0103,0.0410,0.0934,0.5239,1.3994,2
652.9992,28 bytes,1500,0,300,0.0112,0.0202,0.0404,1.0915,2.1529,2
499.4236,28 bytes,1200,0,400,0.0074,0.0172,0.7252,1.7200,2.2722,1
476.7346,28 bytes,1500,0,500,0.0069,0.0209,0.9298,2.2939,2.9794,1
387.1219,28 bytes,1000,0,1000,0.2861,1.0565,1.8643,2.2201,2.4975,2
600.2302,28 bytes,1600,0,10,0.0087,0.0153,0.0201,0.0253,0.0378,2
546.2261,28 bytes,1600,0,20,0.0210,0.0333,0.0421,0.0512,0.0738,1
547.8936,28 bytes,1600,0,50,0.0259,0.0624,0.0839,0.1043,0.5753,1
597.9107,28 bytes,1540,0,70,0.0273,0.0432,0.0578,0.0792,1.4719,1
589.0915,28 bytes,1600,0,80,0.0267,0.0537,0.0739,0.1001,1.4018,1
703.8833,28 bytes,1600,0,100,0.0098,0.0316,0.0453,0.0618,1.7626,1
931.2745,28 bytes,1500,0,125,0.0098,0.0304,0.0454,0.0892,1.1570,2
949.2090,28 bytes,1485,0,135,0.0197,0.0434,0.0632,0.1066,1.1069,2
662.3743,28 bytes,1600,0,160,0.0163,0.0284,0.0402,0.0837,2.0326,2
630.4169,28 bytes,1440,0,180,0.0149,0.0255,0.0359,0.4876,2.0406,1
611.8427,28 bytes,1600,0,200,0.0145,0.0251,0.0376,0.5502,2.3054,1
710.7321,28 bytes,1500,0,300,0.0066,0.0170,0.0322,1.0936,1.9626,1
871.4465,28 bytes,1600,0,400,0.0104,0.0289,0.1982,1.1270,1.6780,2
796.3528,28 bytes,1500,0,500,0.0097,0.0280,0.6446,1.2828,1.6880,2
201.6785,28 bytes,1000,0,1000,0.3205,2.3152,3.4484,4.3424,4.8306,1
680.7432,28 bytes,1800,0,10,0.0082,0.0136,0.0175,0.0220,0.0324,1
560.2902,28 bytes,1800,0,20,0.0204,0.0327,0.0412,0.0504,0.0746,1
552.6768,28 bytes,1800,0,50,0.0356,0.0722,0.0850,0.1210,0.2942,1
714.9398,28 bytes,1750,0,70,0.0159,0.0530,0.0804,0.1189,1.0304,1
680.6808,28 bytes,1760,0,80,0.0134,0.0380,0.0740,0.1151,1.5965,2
